timestamp,scenario,framework,routing_correct,latency_sec,latency_source,input_tokens,output_tokens,total_tokens,response_length,error
2026-05-08T19:46:41.309319+00:00,Scenario 1 - Lesson Plan,Google ADK,TRUE,26.75,langsmith,2864,2413,5791,5308,
2026-05-08T19:47:34.661546+00:00,Scenario 1 - Lesson Plan,Google ADK,TRUE,24.27,langsmith,2622,1942,5223,4212,
2026-05-08T19:48:27.077837+00:00,Scenario 1 - Lesson Plan,Google ADK,TRUE,23.65,langsmith,2762,2128,5298,4547,
2026-05-08T19:49:25.705251+00:00,Scenario 1 - Lesson Plan,Google ADK,TRUE,29.42,langsmith,3690,2095,6828,4640,
2026-05-08T19:50:39.950980+00:00,Scenario 1 - Lesson Plan,Google ADK,TRUE,44.68,langsmith,7542,2073,11587,4530,
2026-05-08T19:51:35.140905+00:00,Scenario 2 - Quiz Generation,Google ADK,TRUE,31.63,langsmith,2533,1871,6878,4195,
2026-05-08T19:52:44.112345+00:00,Scenario 2 - Quiz Generation,Google ADK,TRUE,38.63,langsmith,2882,2415,6032,5442,
2026-05-08T19:53:36.406711+00:00,Scenario 2 - Quiz Generation,Google ADK,TRUE,23.63,langsmith,2419,1663,5711,3943,
2026-05-08T19:54:26.747259+00:00,Scenario 2 - Quiz Generation,Google ADK,TRUE,20.79,langsmith,2649,2088,5425,4939,
2026-05-08T19:55:18.254240+00:00,Scenario 2 - Quiz Generation,Google ADK,TRUE,21.97,langsmith,2720,2227,5584,5176,
2026-05-08T20:13:55.130121+00:00,Scenario 3 - Email HITL,Google ADK,TRUE,14.16,langsmith,1973,396,2824,323,
2026-05-08T20:14:40.152409+00:00,Scenario 3 - Email HITL,Google ADK,TRUE,15.2,langsmith,2029,472,2930,331,
2026-05-08T20:15:21.112678+00:00,Scenario 3 - Email HITL,Google ADK,TRUE,12.15,langsmith,1801,342,2535,182,
2026-05-08T20:16:10.175128+00:00,Scenario 3 - Email HITL,Google ADK,TRUE,21.19,langsmith,1997,444,3106,289,
2026-05-08T20:16:51.193945+00:00,Scenario 3 - Email HITL,Google ADK,TRUE,10.91,langsmith,1917,335,2686,152,
